㞎㞎	ba3 ba5
倒行逆施	dao4 xing2 ni4 shi1
倒装	dao4 zhuang1
倒装句	dao4 zhuang1 ju4
倒计时	dao4 ji4 shi2
倒贴	dao4 tie1
倒赔	dao4 pei2
倒车	dao4 che1
倒车挡	dao4 che1 dang3
倒转	dao4 zhuan4
倒过儿	dao4 guo4 r5
倒退	dao4 tui4
倒逼	dao4 bi1
倒钩	dao4 gou1
倒锁	dao4 suo3
倒霉蛋儿	dao3 mei2 dan4 r5
倔头	jue4 tou2
倔强	jue2 jiang4
借单儿	jie4 dan1 r5
借字儿	jie4 zi4 r5
借尸还魂	jie4 shi1 huan2 hun2
借腹生子	jie4 fu4 sheng1 zi3
倥侗	kong1 tong2
倭黑猩猩	wo1 hei1 xing1 xing5
值当	zhi2 dang5
倾箱倒箧	qing1 xiang1 dao4 qie4
假别	jia4 bie2
假发	jia3 fa4
假子	jia3 zi3
假掰	gei1 bai1
假日	jia4 ri4
假期	jia4 qi1
假条	jia4 tiao2
假途灭虢	jia3 tu2 mie4 guo2
假道伐虢	jia3 dao4 fa2 guo2
偏好	pian1 hao4
做为	zuo4 wei2
做伴儿	zuo4 ban4 r5
做作	zuo4 zuo5
做功夫	zuo4 gong1 fu5
做厅长	zuo4 ting1 zhang3
做工夫	zuo4 gong1 fu5
做活儿	zuo4 huo2 r5
停当	ting2 dang5
偶一为之	ou3 yi1 wei2 zhi1
偷空	tou1 kong4
偿还	chang2 huan2
傍家儿	bang4 jia1 r5
傧相	bin1 xiang4
催吐	cui1 tu4
催吐剂	cui1 tu4 ji4
催眠曲	cui1 mian2 qu3
傻大个儿	sha3 da4 ge4 r5
傻帽儿	sha3 mao4 r5
傻瓜干面	sha3 gua1 gan1 mian4
傻瓜相机	sha3 gua1 xiang4 ji1
傻里傻气	sha3 li5 sha3 qi4
像模像样	xiang4 mu2 xiang4 yang4
僧伽	seng1 qie2
僬侥	jiao1 yao2
僻地	pi4 di4
僻处	pi4 chu3
儿媳妇儿	er2 xi2 fu4 r5
允当	yun3 dang4
兄长	xiong1 zhang3
充分	chong1 fen4
充分就业	chong1 fen4 jiu4 ye4
充分考虑	chong1 fen4 kao3 lv4
兆头	zhao4 tou5
兆电子伏	zhao4 dian4 zi3 fu2
先入为主	xian1 ru4 wei2 zhu3
先到先得	xian1 dao4 xian1 de2
先王之乐	xian1 wang2 zhi1 yue4
先生	xian1 sheng5
先睹为快	xian1 du3 wei2 kuai4
光子	guang1 zi3
光栅	guang1 shan1
光棍儿	guang1 gun4 r5
光溜	guang1 liu5
光电子	guang1 dian4 zi3
光禄大夫	guang1 lu4 dai4 fu5
光背地鸫	guang1 bei4 di4 dong1
克仑特罗	ke4 lun2 te4 luo1
免不了	mian3 bu4 liao3
免不得	mian3 bu5 de5
党参	dang3 shen1
兜儿	dou1 r5
兜兜	dou1 dou5
兜兜转转	dou1 dou1 zhuan4 zhuan4
兜肚	dou1 du5
入土为安	ru4 tu3 wei2 an1
入行	ru4 hang2
全乎	quan2 hu5
全军覆没	quan2 jun1 fu4 mo4
全地形车	quan2 di4 xing2 che1
全职太太	quan2 zhi2 tai4 tai5
八哥	ba1 ge5
八哥儿	ba1 ge1 r5
八斗之才	ba1 dou3 zhi1 cai2
八相成道	ba1 xiang4 cheng2 dao4
八行书	ba1 hang2 shu1
八重奏	ba1 chong2 zou4
公了	gong1 liao3
公假	gong1 jia4
公公	gong1 gong5
公共假期	gong1 gong4 jia4 qi1
公司行号	gong1 si1 hang2 hao4
公合	gong1 ge3
公因子	gong1 yin1 zi3
公地	gong1 di4
公地悲剧	gong1 di4 bei1 ju4
公子	gong1 zi3
公子哥儿	gong1 zi3 ge1 r5
公担	gong1 dan4
公斗	gong1 dou3
公模	gong1 mu2
公石	gong1 dan4
公诸同好	gong1 zhu1 tong2 hao4
公转	gong1 zhuan4
兰若	lan2 re3
共处	gong4 chu3
共患难	gong4 huan4 nan4
关卡	guan1 qia3
关塞	guan1 sai4
关系	guan1 xi5
关系户	guan1 xi5 hu4
关系网	guan1 xi5 wang3
关门弟子	guan1 men2 di4 zi3
兴会	xing4 hui4
兴冲冲	xing4 chong1 chong1
兴味	xing4 wei4
兴头	xing4 tou5
兴尽	xing4 jin4
兴致	xing4 zhi4
兴致勃勃	xing4 zhi4 bo2 bo2
兴趣	xing4 qu4
兴高采烈	xing4 gao1 cai3 lie4
兵差	bing1 chai1
典当	dian3 dang4
典当行	dian3 dang4 hang2
典狱长	dian3 yu4 zhang3
养分	yang3 fen4
养地	yang3 di4
养子	yang3 zi3
养尊处优	yang3 zun1 chu3 you1
养活	yang3 huo5
养虎为患	yang3 hu3 wei2 huan4
兼差	jian1 chai1
内传	nei4 zhuan4
内内	nei4 nei5
内切	nei4 qie1
内切球	nei4 qie1 qiu2
内地	nei4 di4
内政部长	nei4 zheng4 bu4 zhang3
内省	nei4 xing3
内省性	nei4 xing3 xing4
内线消息	nei4 xian4 xiao1 xi5
内脏	nei4 zang4
内行	nei4 hang2
