㞎㞎	ba3 ba5
内飞地	nei4 fei1 di4
再不然	zai4 bu5 ran2
再处理	zai4 chu3 li3
冒失	mao4 shi5
冒失鬼	mao4 shi5 gui3
冗散	rong3 san3
写意	xie4 yi4
军乐	jun1 yue4
军乐团	jun1 yue4 tuan2
军乐队	jun1 yue4 dui4
军事力量	jun1 shi4 li4 liang5
军事基地	jun1 shi4 ji1 di4
农地	nong2 di4
冠以	guan4 yi3
冠军	guan4 jun1
冠军赛	guan4 jun1 sai4
冠名	guan4 ming2
冠礼	guan4 li3
冠词	guan4 ci2
冤家	yuan1 jia5
冤枉	yuan1 wang5
冤枉路	yuan1 wang5 lu4
冤枉钱	yuan1 wang5 qian2
冰塞	bing1 sai1
冰天雪地	bing1 tian1 xue3 di4
冰斗	bing1 dou3
冰棍儿	bing1 gun4 r5
冰溜	bing1 liu4
冰糖葫芦	bing1 tang2 hu2 lu5
冰钻	bing1 zuan4
冰雪聪明	bing1 xue3 cong1 ming5
冲击钻	chong1 ji1 zuan4
冲劲	chong4 jin4
冲压	chong4 ya1
冲床	chong4 chuang2
冲调	chong1 tiao2
决明子	jue2 ming2 zi3
冷不丁	leng3 bu5 ding1
冷不防	leng3 bu5 fang2
冷处理	leng3 chu3 li3
冷知识	leng3 zhi1 shi5
冷笑话	leng3 xiao4 hua5
冷轧	leng3 zha2
冻干	dong4 gan1
准妈妈	zhun3 ma1 ma5
准的	zhun3 di4
准谱儿	zhun3 pu3 r5
凉快	liang2 kuai5
凑付	cou4 fu5
凑合	cou4 he5
凑热闹	cou4 re4 nao5
几丁	ji1 ding1
几丁质	ji1 ding1 zhi4
几个	ji3 ge5
几乎	ji1 hu1
几乎不	ji1 hu1 bu4
几可乱真	ji1 ke3 luan4 zhen1
几希	ji1 xi1
几微	ji1 wei1
几案	ji1 an4
几欲	ji1 yu4
几率	ji1 lv4
几维鸟	ji1 wei2 niao3
几至	ji1 zhi4
几谏	ji1 jian4
几近	ji1 jin4
凡夫俗子	fan2 fu1 su2 zi3
凶丧	xiong1 sang1
凶煞	xiong1 sha4
凶相	xiong1 xiang4
凶相毕露	xiong1 xiang4 bi4 lu4
凶神恶煞	xiong1 shen2 e4 sha4
凹朴皮	ao1 po4 pi2
出丧	chu1 sang1
出主意	chu1 zhu3 yi5
出人头地	chu1 ren2 tou2 di4
出圈	chu1 juan4
出圈儿	chu1 quan1 r5
出大差	chu1 da4 chai1
出尖儿	chu1 jian1 r5
出差	chu1 chai1
出息	chu1 xi5
出摊儿	chu1 tan1 r5
出没	chu1 mo4
出没无常	chu1 mo4 wu2 chang2
出洋相	chu1 yang2 xiang4
出溜	chu1 liu5
出溜屁	chu1 liu5 pi4
出生地	chu1 sheng1 di4
出生地点	chu1 sheng1 di4 dian3
出神音乐	chu1 shen2 yin1 yue4
出臭子儿	chu1 chou4 zi3 r5
出风头	chu1 feng1 tou5
击中	ji1 zhong4
击晕	ji1 yun1
击缶	ji2 fou3
刀削面	dao1 xiao1 mian4
刀耕火种	dao1 geng1 huo3 zhong4
刀螂	dao1 lang5
刁斗	diao1 dou3
刁难	diao1 nan4
分为	fen1 wei2
分内	fen4 nei4
分叉	fen1 cha4
分地	fen1 di4
分外	fen4 wai4
分子	fen1 zi3
分子医学	fen1 zi3 yi1 xue2
分子式	fen1 zi3 shi4
分子料理	fen1 zi3 liao4 li3
分子杂交	fen1 zi3 za2 jiao1
分子筛	fen1 zi3 shai1
分子量	fen1 zi3 liang4
分寸	fen1 cun5
分当	fen4 dang1
分拆	fen4 chai1
分析处理	fen1 xi1 chu3 li3
分相	fen1 xiang4
分离分子	fen1 li2 fen4 zi3
分行	fen1 hang2
分量	fen4 liang5
分际	fen4 ji4
切中	qie4 zhong4
切中时弊	qie4 zhong4 shi2 bi4
切中时病	qie4 zhong4 shi2 bing4
切中要害	qie4 zhong4 yao4 hai4
切入	qie1 ru4
切刀	qie1 dao1
切分音	qie1 fen1 yin1
切削	qie1 xiao1
切割	qie1 ge1
切变	qie1 bian4
切口	qie1 kou3
切叶蜂	qie1 ye4 feng1
切向	qie1 xiang4
切向力	qie1 xiang4 li4
切向速度	qie1 xiang4 su4 du4
切向量	qie1 xiang4 liang4
切块	qie1 kuai4
切平面	qie1 ping2 mian4
切成	qie1 cheng2
切换	qie1 huan4
切断	qie1 duan4
切末	qie4 mo5
切杆	qie1 gan1
切点	qie1 dian3
切片	qie1 pian4
切片检查	qie1 pian4 jian3 cha2
切牙	qie1 ya2
切痛	qie1 tong4
切碎	qie1 sui4
切磋	qie1 cuo1
切磋琢磨	qie1 cuo1 zhuo2 mo2
切空间	qie1 kong1 jian1
切糕	qie1 gao1
切线	qie1 xian4
切肉刀	qie1 rou4 dao1
切腹	qie1 fu4
切菜板	qie1 cai4 ban3
切除	qie1 chu2
切面	qie1 mian4
刈包	gua4 bao1
刊载	kan1 zai3
划不来	hua2 bu5 lai2
划伤	hua2 shang1
划切	hua2 qie4
划子	hua2 zi5
划得来	hua2 de5 lai2
划拉	hua2 la5
划拳	hua2 quan2
划桨	hua2 jiang3
划痕	hua2 hen2
划破	hua2 po4
划算	hua2 suan4
划船	hua2 chuan2
划船机	hua2 chuan2 ji1
划艇	hua2 ting3
划过	hua2 guo4
列为	lie4 wei2
列传	lie4 zhuan4
列车长	lie4 che1 zhang3
刚刚	gang1 gang5
刚劲	gang1 jing4
刚正不阿	gang1 zheng4 bu4 e1
创伤	chuang1 shang1
创口	chuang1 kou3
创口贴	chuang1 kou3 tie1
创可贴	chuang1 ke3 tie1
创巨痛深	chuang1 ju4 tong4 shen1
创痕	chuang1 hen2
创痛	chuang1 tong4
判处	pan4 chu3
刨根	pao2 gen1
刨根儿	pao2 gen1 r5
刨根问底	pao2 gen1 wen4 di3
利什曼病	li4 shi2 man4 bing4
利他行为	li4 ta1 xing2 wei2
利害关系	li4 hai4 guan1 xi5
利得	li4 de2
利得税	li4 de2 shui4
利息率	li4 xi5 lv4
利爪	li4 zhao3
利索	li4 suo5
利落	li4 luo5
别人	bie2 ren5
别传	bie2 zhuan4
别具只眼	bie2 ju4 zhi1 yan3
别嘴	bie4 zui3
别太客气	bie2 tai4 ke4 qi5
别客气	bie2 ke4 qi5
别扭	bie4 niu5
别有天地	bie2 you3 tian1 di4
别苗头	bie2 miao2 tou5
到了	dao4 liao3
到得	dao4 de2
到此为止	dao4 ci3 wei2 zhi3
制服呢	zhi4 fu2 ni2
制模	zhi4 mu2
刹不住	sha1 bu5 zhu4
刹时	cha4 shi2
刹那	cha4 na4
刺中	ci4 zhong4
刺儿	ci4 r5
刺儿头	ci4 r5 tou2
刺儿李	ci4 r5 li3
刺儿话	ci4 r5 hua4
刺棱	ci1 leng1
刺猬	ci4 wei5
刻意为之	ke4 yi4 wei2 zhi1
剃发令	ti4 fa4 ling4
剃发留辫	ti4 fa4 liu2 bian4
削发	xue1 fa4
削尖	xiao1 jian1
削球	xiao1 qiu2
削职为民	xue1 zhi2 wei2 min2
削铅笔	xiao1 qian1 bi3
削铅笔机	xiao1 qian1 bi3 ji1
前仆后继	qian2 pu1 hou4 ji4
前儿	qian2 r5
前半天儿	qian2 ban4 tian1 r5
前半晌儿	qian2 ban4 shang3 r5
前头	qian2 tou5
前奏曲	qian2 zou4 qu3
前缘未了	qian2 yuan2 wei4 liao3
前边	qian2 bian5
前边儿	qian2 bian5 r5
前首相	qian2 shou3 xiang4
剥皮	bao1 pi2
剥皮钳	bao1 pi2 qian2
剪切	jian3 qie1
剪切力	jian3 qie1 li4
剪切形变	jian3 qie1 xing2 bian4
剪切板	jian3 qie1 ban3
剪头发	jian3 tou2 fa5
副书记	fu4 shu1 ji5
副地级市	fu4 di4 ji2 shi4
副州长	fu4 zhou1 zhang3
副市长	fu4 shi4 zhang3
副校长	fu4 xiao4 zhang3
副相	fu4 xiang4
副秘书长	fu4 mi4 shu1 zhang3
副议长	fu4 yi4 zhang3
副部长	fu4 bu4 zhang3
副院长	fu4 yuan4 zhang3
割包	gua4 bao1
割舍	ge1 she3
剿说	chao1 shuo1
劈叉	pi3 cha4
劈腿	pi3 tui3
劐弄	huo1 leng5
力气	li4 qi5
力量	li4 liang5
办不到	ban4 bu5 dao4
办公地址	ban4 gong1 di4 zhi3
功不可没	gong1 bu4 ke3 mo4
功夫	gong1 fu5
功夫流感	gong1 fu5 liu2 gan3
功夫片	gong1 fu5 pian4
功夫球	gong1 fu5 qiu2
功夫病毒	gong1 fu5 bing4 du2
功夫茶	gong1 fu5 cha2
加劲儿	jia1 jin4 r5
加哩	jia1 li3
加塞儿	jia1 sai1 r5
动不动	dong4 bu5 dong4
动嘴皮儿	dong4 zui3 pi2 r5
动弹	dong4 tan5
动弹不得	dong4 tan5 bu5 de2
动词重叠	dong4 ci2 chong2 die2
动辄得咎	dong4 zhe2 de2 jiu4
助人为乐	zhu4 ren2 wei2 le4
助兴	zhu4 xing4
助纣为虐	zhu4 zhou4 wei2 nve4
助长	zhu4 zhang3
努劲儿	nu3 jin4 r5
努嘴儿	nu3 zui3 r5
劫难	jie2 nan4
劲儿	jin4 r5
劲卒	jing4 zu2
劲吹	jing4 chui1
劲射	jing4 she4
劲峭	jing4 qiao4
劲拔	jing4 ba2
劲挺	jing4 ting3
劲敌	jing4 di2
劲旅	jing4 lv3
劲烈	jing4 lie4
劲爆	jing4 bao4
劲直	jing4 zhi2
劲舞	jing4 wu3
劲草	jing4 cao3
劲风	jing4 feng1
劳什子	lao2 shi2 zi5
劳务合同	lao2 wu4 he2 tong5
劳动合同	lao2 dong4 he2 tong5
劳累	lao2 lei4
势利小人	shi4 li5 xiao3 ren2
势利眼	shi4 li5 yan3
势力	shi4 li5
势在必得	shi4 zai4 bi4 de2
勉为其难	mian3 wei2 qi2 nan2
勉力而为	mian3 li4 er2 wei2
勉勉强强	mian3 mian3 qiang3 qiang3
勉强	mian3 qiang3
勒勒车	lei1 lei1 che1
勒杀	lei1 sha1
勒死	lei1 si3
勒毙	lei1 bi4
勒紧	lei1 jin3
勒紧裤带	lei1 jin3 ku4 dai4
勒脖子	lei1 bo2 zi5
勾当	gou4 dang4
勾搭	gou1 da5
匀实	yun2 shi5
匀溜	yun2 liu5
匀称	yun2 chen4
包圆儿	bao1 yuan2 r5
包干	bao1 gan1
包干儿	bao1 gan1 r5
包干制	bao1 gan1 zhi4
包扎	bao1 za1
包涵	bao1 han5
包皮环切	bao1 pi2 huan2 qie1
包袱底儿	bao1 fu5 di3 r5
包袱皮儿	bao1 fu5 pi2 r5
化为乌有	hua4 wei2 wu1 you3
化为泡影	hua4 wei2 pao4 ying3
化子	hua1 zi5
化学成分	hua4 xue2 cheng2 fen4
化敌为友	hua4 di2 wei2 you3
化整为零	hua4 zheng3 wei2 ling2
化险为夷	hua4 xian3 wei2 yi2
北边儿	bei3 bian1 r5
区长	qu1 zhang3
十二地支	shi2 er4 di4 zhi1
十二时辰	shi2 er4 shi2 chen5
十四行诗	shi2 si4 hang2 shi1
十天干	shi2 tian1 gan1
十字转门	shi2 zi4 zhuan4 men2
十干	shi2 gan1
千乘之国	qian1 sheng4 zhi1 guo2
千儿八百	qian1 r5 ba1 bai3
千虑一得	qian1 lv4 yi1 de2
千载难逢	qian1 zai3 nan2 feng2
千钧一发	qian1 jun1 yi1 fa4
升斗	sheng1 dou3
升斗小民	sheng1 dou3 xiao3 min2
午觉	wu3 jiao4
半个	ban4 ge5
半个人	ban4 ge5 ren2
半分儿	ban4 fen1 r5
半大小子	ban4 da4 xiao3 zi3
半开门儿	ban4 kai1 men2 r5
半打	ban4 da2
半拉	ban4 la3
半殖民地	ban4 zhi2 min2 di4
半生不熟	ban4 sheng1 bu4 shou2
半身不遂	ban4 shen1 bu4 sui2
半载	ban4 zai3
半间不界	ban4 gan1 bu4 ga4
华发	hua2 fa4
华达呢	hua2 da2 ni2
华靡	hua2 mi2
协处理器	xie2 chu3 li3 qi4
协奏曲	xie2 zou4 qu3
协调	xie2 tiao2
协调人	xie2 tiao2 ren2
协调员	xie2 tiao2 yuan2
卒中	cu4 zhong4
单个	dan1 ge5
单个儿	dan1 ge4 r5
单于	chan2 yu2
单亲妈妈	dan1 qin1 ma1 ma5
单亲爸爸	dan1 qin1 ba4 ba5
单反相机	dan1 fan3 xiang4 ji1
单口相声	dan1 kou3 xiang4 sheng1
单子叶	dan1 zi3 ye4
单挑	dan1 tiao3
单曲	dan1 qu3
单相	dan1 xiang4
单眼相机	dan1 yan3 xiang4 ji1
单趟	dan1 tang4
卖力气	mai4 li4 qi5
卖弄	mai4 nong5
卖相	mai4 xiang4
南无	na1 mo2
南边	nan2 bian5
南边儿	nan2 bian5 r5
博得	bo2 de2
博闻强识	bo2 wen2 qiang2 zhi4
卜占	bu3 zhan1
占为己有	zhan4 wei2 ji3 you3
占便宜	zhan4 pian2 yi5
占卜	zhan1 bu3
占地	zhan4 di4
占地儿	zhan4 di4 r5
占地方	zhan4 di4 fang5
占地面积	zhan4 di4 mian4 ji5
占星	zhan1 xing1
占星学	zhan1 xing1 xue2
占星家	zhan1 xing1 jia1
占星师	zhan1 xing1 shi1
占星术	zhan1 xing1 shu4
卡啦	ka3 la1
卡壳	qia3 ke2
卡子	qia3 zi5
卡扣	qia3 kou4
卡洛娜	ka3 luo4 na4
卡盘	qia3 pan2
卡脖子	qia3 bo2 zi5
卧果儿	wo4 guo3 r5
卯起来	mao3 qi3 lai5
印把子	yin4 ba4 zi5
危如朝露	wei1 ru2 zhao1 lu4
危若朝露	wei1 ruo4 zhao1 lu4
危难	wei1 nan4
即为	ji2 wei2
即兴	ji2 xing4
即兴之作	ji2 xing4 zhi1 zuo4
即兴发挥	ji2 xing4 fa1 hui1
即将	ji2 jiang1
即将来临	ji2 jiang1 lai2 lin2
即时即地	ji2 shi2 ji2 di4
即时消息	ji2 shi2 xiao1 xi5
却倒	que4 dao4
卵泡	luan3 pao1
卷发	juan3 fa4
卷发器	juan3 fa4 qi4
卷发棒	juan3 fa4 bang4
卷发筒	juan3 fa4 tong3
卷土重来	juan3 tu3 chong2 lai2
卷地皮	juan3 di4 pi2
卷宗	juan4 zong1
卷帙	juan4 zhi4
卷帙浩繁	juan4 zhi4 hao4 fan2
卷轴	juan4 zhou2
卷铺盖	juan3 pu1 gai5
卸磨杀驴	xie4 mo4 sha1 lv2
卸肩儿	xie4 jian1 r5
厂长	chang3 zhang3
厅长	ting1 zhang3
历历可数	li4 li4 ke3 shu3
历史重演	li4 shi3 chong2 yan3
厉害	li4 hai5
压根	ya4 gen1
压根儿	ya4 gen1 r5
压轴	ya1 zhou4
压轴好戏	ya1 zhou4 hao3 xi4
压轴戏	ya1 zhou4 xi4
压马路	ya4 ma3 lu4
厌恶	yan4 wu4
厚实	hou4 shi5
厚朴	hou4 po4
厚生相	hou4 sheng1 xiang4
厚薄	hou4 bao2
厚道	hou4 dao5
原产地	yuan2 chan3 di4
原则上	yuan2 ze2 shang5
原地	yuan2 di4
原地踏步	yuan2 di4 ta4 bu4
原子	yuan2 zi3
原子半径	yuan2 zi3 ban4 jing4
原子堆	yuan2 zi3 dui1
原子序数	yuan2 zi3 xu4 shu4
原子弹	yuan2 zi3 dan4
原子核	yuan2 zi3 he2
原子武器	yuan2 zi3 wu3 qi4
原子笔	yuan2 zi3 bi3
原子能	yuan2 zi3 neng2
原子论	yuan2 zi3 lun4
原子质量	yuan2 zi3 zhi4 liang4
原子量	yuan2 zi3 liang4
原子钟	yuan2 zi3 zhong1
厨师长	chu2 shi1 zhang3
去离子水	qu4 li2 zi3 shui3
去重	qu4 chong2
县地	xian4 di4
县长	xian4 zhang3
参与	can1 yu4
参与者	can1 yu4 zhe3
参差	cen1 ci1
参差不齐	cen1 ci1 bu4 qi2
参差错落	cen1 ci1 cuo4 luo4
参校	can1 jiao4
参茸	shen1 rong2
参薯	shen1 shu3
参谋总长	can1 mou2 zong3 zhang3
参谋长	can1 mou2 zhang3
参鸡汤	shen1 ji1 tang1
双下巴	shuang1 xia4 ba5
双子叶	shuang1 zi3 ye4
双子星	shuang1 zi3 xing1
双相障碍	shuang1 xiang4 zhang4 ai4
双重	shuang1 chong2
双重国籍	shuang1 chong2 guo2 ji2
双重标准	shuang1 chong2 biao1 zhun3
反倒	fan3 dao4
反动分子	fan3 dong4 fen4 zi3
反动势力	fan3 dong4 shi4 li5
反叛分子	fan3 pan4 fen4 zi3
反客为主	fan3 ke4 wei2 zhu3
反弹	fan3 tan2
反散射	fan3 san3 she4
反电子	fan3 dian4 zi3
反相	fan3 xiang4
反相器	fan3 xiang4 qi4
反省	fan3 xing3
反知识	fan3 zhi1 shi5
反粒子	fan3 li4 zi3
反角	fan3 jue2
反败为胜	fan3 bai4 wei2 sheng4
反过来	fan3 guo5 lai2
反间	fan3 jian4
反间计	fan3 jian4 ji4
反间谍	fan3 jian4 die2
反面儿	fan3 mian4 r5
发丝	fa4 si1
发丧	fa1 sang1
发乳	fa4 ru3
发人深省	fa1 ren2 shen1 xing3
发冠卷尾	fa4 guan1 juan3 wei3
发卷	fa4 juan3
发国难财	fa1 guo2 nan4 cai2
发圈	fa4 quan1
发型	fa4 xing2
发型师	fa4 xing2 shi1
发夹	fa4 jia1
发奋有为	fa1 fen4 you3 wei2
发妻	fa4 qi1
发小	fa4 xiao3
发小儿	fa4 xiao3 r5
发尾	fa4 wei3
发屋	fa4 wu1
发带	fa4 dai4
发廊	fa4 lang2
发式	fa4 shi4
发指眦裂	fa4 zhi3 zi4 lie4
发旋	fa4 xuan2
发晕	fa1 yun1
发梢	fa4 shao1
发横财	fa1 heng4 cai2
发源地	fa1 yuan2 di4
发生关系	fa1 sheng1 guan1 xi5
发祥地	fa1 xiang2 di4
发箍	fa4 gu1
发簪	fa4 zan1
发绺	fa4 liu3
发网	fa4 wang3
发胶	fa4 jiao1
发脚	fa4 jiao3
发菜	fa4 cai4
发蒙	fa1 meng1
发蜡	fa4 la4
发辫	fa4 bian4
发达地区	fa1 da2 di4 qu1
发量	fa4 liang4
发钗	fa4 chai1
发际线	fa4 ji4 xian4
发难	fa1 nan4
发髻	fa4 ji4
叔伯	shu1 bai5
叔叔	shu1 shu5
取得	qu3 de2
取得一致	qu3 de2 yi1 zhi4
取得胜利	qu3 de2 sheng4 li4
取灯儿	qu3 deng1 r5
取舍	qu3 she3
受不了	shou4 bu4 liao3
受得了	shou4 de5 liao3
受禅	shou4 shan4
受降	shou4 xiang2
受降仪式	shou4 xiang2 yi2 shi4
受难	shou4 nan4
受难者	shou4 nan4 zhe3
变为	bian4 wei2
变奏曲	bian4 zou4 qu3
变样儿	bian4 yang4 r5
变法儿	bian4 fa3 r5
变相	bian4 xiang4
变音记号	bian4 yin1 ji4 hao5
口供	kou3 gong4
口口声声	kou3 kou5 sheng1 sheng1
口干舌燥	kou3 gan1 she2 zao4
口音	kou3 yin5
口齿清楚	kou3 chi3 qing1 chu5
古典乐	gu3 dian3 yue4
古典音乐	gu3 dian3 yin1 yue4
古刹	gu3 cha4
古地磁	gu3 di4 ci2
古时候	gu3 shi2 hou5
古都	gu3 du1
句读	ju4 dou4
另存为	ling4 cun2 wei2
叨叨	dao1 dao5
叨唠	dao1 lao5
叨扰	tao1 rao3
只不过	zhi3 bu5 guo4
只争朝夕	zhi3 zheng1 zhao1 xi1
只字不提	zhi1 zi4 bu4 ti2
只当	zhi3 dang4
只得	zhi3 de2
只眼独具	zhi1 yan3 du2 ju4
只言片语	zhi1 yan2 pian4 yu3
只身	zhi1 shen1
只鸡斗酒	zhi1 ji1 dou3 jiu3
叫唤	jiao4 huan5
叫苦不迭	jiao4 ku3 bu5 die2
叭啦狗	ba1 la1 gou3
可不	ke3 bu5
可不是	ke3 bu5 shi4
可劲儿	ke3 jin4 r5
可恶	ke3 wu4
可数	ke3 shu3
可数名词	ke3 shu3 ming2 ci2
可数集	ke3 shu3 ji2
可汗	ke4 han2
可疑分子	ke3 yi2 fen4 zi3
可耕地	ke3 geng1 di4
可调	ke3 tiao2
台地	tai2 di4
台面呢	tai2 mian4 ni2
叱喝	chi4 he4
史传	shi3 zhuan4
史传小说	shi3 zhuan4 xiao3 shuo1
右派分子	you4 pai4 fen4 zi3
右边	you4 bian5
右边儿	you4 bian5 r5
叶韵	xie2 yun4
号丧	hao2 sang5
号叫	hao2 jiao4
号哭	hao2 ku1
司长	si1 zhang3
叹为观止	tan4 wei2 guan1 zhi3
叽叽咕咕	ji1 ji5 gu1 gu1
叽叽喳喳	ji1 ji1 zha1 zha1
叽叽嘎嘎	ji1 ji5 ga1 ga1
叽叽歪歪	ji1 ji5 wai1 wai1
叽里咕噜	ji1 li5 gu1 lu1
吁请	yu4 qing3
吃不上	chi1 bu5 shang4
吃不下	chi1 bu5 xia4
吃不住	chi1 bu5 zhu4
吃不开	chi1 bu5 kai1
吃不服	chi1 bu5 fu2
吃不来	chi1 bu5 lai2
吃不消	chi1 bu5 xiao1
吃亏上当	chi1 kui1 shang4 dang4
吃哑巴亏	chi1 ya3 ba5 kui1
吃干抹净	chi1 gan1 ma1 jing4
吃干饭	chi1 gan1 fan4
吃拿卡要	chi1 na2 qia3 yao4
吃相	chi1 xiang4
吃空额	chi1 kong4 e2
吃空饷	chi1 kong4 xiang3
吃苦头	chi1 ku3 tou5
吃豆腐	chi1 dou4 fu5
各地	ge4 di4
各奔东西	ge4 ben4 dong1 xi1
各奔前程	ge4 ben4 qian2 cheng2
各得其所	ge4 de2 qi2 suo3
各有所好	ge4 you3 suo3 hao4
各自为政	ge4 zi4 wei2 zheng4
各行各业	ge4 hang2 ge4 ye4
吆五喝六	yao1 wu3 he4 liu4
吆喝	yao1 he5
合为	he2 wei2
合众为一	he2 zhong4 wei2 yi1
合同	he2 tong5
合同各方	he2 tong5 ge4 fang1
合同法	he2 tong5 fa3
合子	he2 zi3
合而为一	he2 er2 wei2 yi1
合辙儿	he2 zhe2 r5
吉人天相	ji2 ren2 tian1 xiang4
吉娃娃	ji2 wa2 wa5
吉电子伏	ji2 dian4 zi3 fu2
吊丧	diao4 sang1
吊儿郎当	diao4 r5 lang2 dang1
吊斗	diao4 dou3
吊杆	diao4 gan1
吊膀子	diao4 bang4 zi5
同型配子	tong2 xing2 pei4 zi3
同好	tong2 hao4
同行	tong2 hang2
同行评审	tong2 hang2 ping2 shen3
同行评议	tong2 hang2 ping2 yi4
名为	ming2 wei2
名儿	ming2 r5
名分	ming2 fen4
名堂	ming2 tang5
名头	ming2 tou5
名媛	ming2 yuan4
名字	ming2 zi5
名曲	ming2 qu3
名气	ming2 qi5
名牌儿	ming2 pai2 r5
名相	ming2 xiang4
名角	ming2 jue2
名角儿	ming2 jue2 r5
名誉扫地	ming2 yu4 sao3 di4
后传	hou4 zhuan4
后儿	hou4 r5
后头	hou4 tou5
后翻筋斗	hou4 fan1 jin1 dou3
后边	hou4 bian5
后边儿	hou4 bian5 r5
后钩儿	hou4 gou1 r5
后面	hou4 mian5
吐沫	tu4 mo5
吐舌头	tu3 she2 tou5
吐血	tu4 xie3
吓唬	xia4 hu5
吓得发抖	xia4 de2 fa1 dou3
吗哪	ma3 na3
吗啉	ma3 lin2
吗啡	ma3 fei1
吗喽	ma5 lou5
君子	jun1 zi3
君子之交	jun1 zi3 zhi1 jiao1
君子兰	jun1 zi3 lan2
君长	jun1 zhang3
吞咽	tun1 yan4
吞咽困难	tun1 yan4 kun4 nan2
吞没	tun1 mo4
吟哦	yin2 e2
吡咯	bi3 luo4
否极泰来	pi3 ji2 tai4 lai2
吧主	ba1 zhu3
吧务	ba1 wu4
吧台	ba1 tai2
吧唧	ba1 ji1
吧唧吧唧	ba1 ji5 ba1 ji5
吧啦吧啦	ba1 la1 ba1 la1
吧嗒	ba1 da5
吧女	ba1 nv3
吧托	ba1 tuo1
吧托女	ba1 tuo1 nv3
吩咐	fen1 fu5
含情脉脉	han2 qing2 mo4 mo4
含括	han2 gua1
含糊	han2 hu5
听上去	ting1 shang4 qu5
听不到	ting1 bu5 dao4
听不懂	ting1 bu5 dong3
听不见	ting1 bu5 jian4
听不进去	ting1 bu4 jin4 qu5
听墙根儿	ting1 qiang2 gen1 r5
听起来	ting1 qi5 lai5
吭哧	keng1 chi5
吱吱嘎嘎	zi1 zi1 ga1 ga1
吱吱声	zi1 zi1 sheng1
吱呀	zhi1 ya1
吵吵	chao1 chao5
吸取教训	xi1 qu3 jiao4 xun5
吸地	xi1 di4
吸着	xi1 zhuo2
吹干	chui1 gan1
吹管乐	chui1 guan3 yue4
呀呀学语	ya1 ya1 xue2 yu3
告儿	gao4 r5
告示	gao4 shi5
告老还乡	gao4 lao3 huan2 xiang1
告送	gao4 song5
呕吐	ou3 tu4
呕吐物	ou3 tu4 wu4
呛到	qiang1 dao4
呛咕	qiang1 gu5
呜咽	wu1 ye4
呢呢	ni2 ni2
呢呢痴痴	ni2 ni2 chi1 chi1
呢喃	ni2 nan2
呢喃细语	ni2 nan2 xi4 yu3
呢子	ni2 zi5
呤呤	ling2 ling2
呫吨	zhan1 dun1
呫吨酮	zhan1 dun1 tong2
呫嚅	che4 ru2
呱呱	gu1 gu1
呱呱坠地	gu1 gu1 zhui4 di4
呱呱堕地	gu1 gu1 duo4 di4
味儿	wei4 r5
味道	wei4 dao5
呵喝	he1 he4
呼号	hu1 hao2
呼吁	hu1 yu4
呼哧呼哧	hu1 chi5 hu1 chi5
呼啦啦	hu1 la1 la1
呼啦圈	hu1 la1 quan1
呼喝	hu1 he4
呼天抢地	hu1 tian1 qiang1 di4
呼来喝去	hu1 lai2 he4 qu4
命中	ming4 zhong4
命中率	ming4 zhong4 lv4
命令行	ming4 ling4 hang2
命相	ming4 xiang4
命题逻辑	ming4 ti2 luo2 ji5
咀嚼	ju3 jue2
咀嚼肌	ju3 jue2 ji1
咂摸	za1 mo5
咋呼	zha1 hu5
咋舌	ze2 she2
和尚	he2 shang5
和尚打伞	he2 shang5 da3 san3
和平共处	he2 ping2 gong4 chu3
和散那	he2 san3 na4
和气	he2 qi5
和牌	hu2 pai2
和睦相处	he2 mu4 xiang1 chu3
和稀泥	huo4 xi1 ni2
和面	huo2 mian4
咎有应得	jiu4 you3 ying1 de2
咔叽	ka3 ji1
咔唑	ka3 zuo4
咔啦	ka3 la1
咕哝	gu1 nong5
咕噜	gu1 lu5
咖哩	ka1 li3
咖啡馆儿	ka1 fei1 guan3 r5
咖喱	ga1 li2
咖喱粉	ga1 li2 fen3
咧嘴	lie3 zui3
咧开嘴笑	lie3 kai1 zui3 xiao4
咬着耳朵	yao3 zhe5 er3 duo5
咬耳朵	yao3 er3 duo5
咯血	ka3 xie3
咳嗽	ke2 sou5
咳血	ke2 xie3
咸与维新	xian2 yu4 wei2 xin1
咸丝丝儿	xian2 si1 si1 r5
咸津津儿	xian2 jin1 jin1 r5
咽下	yan4 xia4
咽下困难	yan4 xia4 kun4 nan2
咽住	yan4 zhu4
咽气	yan4 qi4
咿呀学语	yi1 ya1 xue2 yu3
哀乐	ai1 yue4
哀号	ai1 hao2
哀子	ai1 zi3
品相	pin3 xiang4
哄劝	hong3 quan4
哄瞒	hong3 man2
哄诱	hong3 you4
哄骗	hong3 pian4
哇塞	wa1 sai1
哈喇	ha1 la5
哈喇子	ha1 la2 zi5
哈士蟆	ha4 shi5 ma2
哈巴狗	ha3 ba1 gou3
哈欠	ha1 qian5
哈达	ha3 da2
哎呀	ai1 ya1
哑巴	ya3 ba5
哑巴亏	ya3 ba5 kui1
哗儿哗儿	hua2 r5 hua2 r5
哗哗	hua1 hua1
哗啦	hua1 la1
哗啦一声	hua1 la1 yi1 sheng1
哗啦啦	hua1 la1 la1
哥们儿	ge1 men5 r5
哥儿	ge1 r5
哥哥	ge1 ge5
哦豁	o4 huo1
哨卡	shao4 qia3
哩哩啦啦	li1 li1 la1 la1
